,DistrictName,Depot Name,google Maps Location,,,,,,,,google Maps Location,Latitude,Longitude
99,Davanagere,Harihar,"GR84+4G6, PB Rd, New Bharampuri, Gandhi Nagar, Harihar, Karnataka 577601, India",,,,,,,,"GR84+4G6, PB Rd, New Bharampuri, Gandhi Nagar, Harihar, Karnataka 577601, India",14.5113707,75.8179404
100,Davanagere,Jagalur,"G88M+XCC, Jagalur, Karnataka 577528, India",,,,,,,,"G88M+XCC, Jagalur, Karnataka 577528, India",14.5174375,76.3335156
101,Davanagere,Davanagere,"FW99+HFM, M B Kere, Jalinagar, Davanagere, Karnataka 577001, India",,,,,,,,"FW99+HFM, M B Kere, Jalinagar, Davanagere, Karnataka 577001, India",14.4689625,75.9186719
102,Davanagere,Honnali,"6JQX+MFC, Honnali, Karnataka 577217, India",,,,,,,,"6JQX+MFC, Honnali, Karnataka 577217, India",14.2391875,75.6486406
103,Davanagere,Channagiri,"2WFJ+F4Q, Channagiri, Karnataka 577213, India",,,,,,,,"2WFJ+F4Q, Channagiri, Karnataka 577213, India",14.0237125,75.9303594
104,Shivamogga,Sagara,"528F+823, Sagara, Karnataka 577401, India",,,,,,,,"528F+823, Sagara, Karnataka 577401, India",14.1657625,75.0225469
105,Shivamogga,Soraba,"93JX+8WF, Soraba, Karnataka 577429",,,,,,,,"93JX+8WF, Soraba, Karnataka 577429",14.3808125,75.0997969
106,Shivamogga,Shikaripura,"7985+P42, Shikaripura, Shikaripur, Karnataka 577427, India",,,,,,,,"7985+P42, Shikaripura, Shikaripur, Karnataka 577427, India",14.2667625,75.3577656
107,Shivamogga,Hosanagar,"W387+GR2, Hosanagar, Karnataka 577418, India",,,,,,,,"W387+GR2, Hosanagar, Karnataka 577418, India",13.9162625,75.0645156
108,Shivamogga,Thirthahalli,"M6RV+4Q3, Thirthahalli, Karnataka 577432, India",,,,,,,,"M6RV+4Q3, Thirthahalli, Karnataka 577432, India",13.6902625,75.2444219
109,Shivamogga,Shivamogga,"WHPG+VH4, SH 25, Basavanagudi, Shivamogga, Karnataka 577201, India",,,,,,,,"WHPG+VH4, SH 25, Basavanagudi, Shivamogga, Karnataka 577201, India",13.940141,75.5811627
110,Shivamogga,Bhadravathi,"VP23+JGF, Jai Bheem Nagar, Indira Nagar, Bhadravathi, Karnataka 577301, India",,,,,,,,"VP23+JGF, Jai Bheem Nagar, Indira Nagar, Bhadravathi, Karnataka 577301, India",13.8515625,75.7037969
111,Udupi,Kundapura,"JMPQ+MMP, Kundapura, Karnataka 576201, India",,,,,,,,"JMPQ+MMP, Kundapura, Karnataka 576201, India",13.6367125,74.6892031
112,Udupi,Udupi,"8PVQ+4JV, Circuit House Rd, Bananje, Udupi, Karnataka 576101, India",,,,,,,,"8PVQ+4JV, Circuit House Rd, Bananje, Udupi, Karnataka 576101, India",13.3412685,74.7390159
113,Udupi,Karkala,"6XGJ+9G7, Karkala, Karnataka 574104, India",,,,,,,,"6XGJ+9G7, Karkala, Karnataka 574104, India",13.2259125,74.9812969
114,Udupi,Kaup,"6PMW+XFP, Kamala Mathu, Uliyargoli, Kaup, Karnataka 574106, India",,,,,,,,"6PMW+XFP, Kamala Mathu, Uliyargoli, Kaup, Karnataka 574106, India",13.2349625,74.7462031
115,Chikkamagaluru,Tarikere,"PR56+WXW, Near Railway Station, Tarikere, Karnataka 577228, India",,,,,,,,"PR56+WXW, Near Railway Station, Tarikere, Karnataka 577228, India",11.24581,75.78312
116,Chikkamagaluru,Kadur,"H236+3XX, Doddapete, Kadur, Karnataka 577548, India",,,,,,,,"H236+3XX, Doddapete, Kadur, Karnataka 577548, India",13.5527375,76.0124844
117,Chikkamagaluru,Chikkamagaluru,"near, hanumanthappa circle, Basavanahalli, Chikkamagaluru, Karnataka 577101, India",,,,,,,,"near, hanumanthappa circle, Basavanahalli, Chikkamagaluru, Karnataka 577101, India",13.325621,75.774204
118,Chikkamagaluru,Mudigere,"4JMR+RHP, Mudigere, Karnataka 577132, India",,,,,,,,"4JMR+RHP, Mudigere, Karnataka 577132, India",13.1345875,75.6414531
119,Tumkuru,Chiknayakanahalli,"CJ5C+RWG, NH-150A, Chikkanayakanahalli, Karnataka 572214, India",,,,,,,,"CJ5C+RWG, NH-150A, Chikkanayakanahalli, Karnataka 572214, India",13.4141898,76.621836
120,Tumkuru,Pavagada,"Pavagada, Tumkur, SH-3, Madugiri Pavagada Chikkahalli Road, Tumkur, Tumkur, Karnataka 561202, India",,,,,,,,"Pavagada, Tumkur, SH-3, Madugiri Pavagada Chikkahalli Road, Tumkur, Tumkur, Karnataka 561202, India",13.3124911,77.2391292
121,Tumkuru,Madhugiri,"M668+P83, Madhugiri, Karnataka 572132, India",,,,,,,,"M668+P83, Madhugiri, Karnataka 572132, India",13.6617625,77.2157969
122,Tumkuru,Koratagere,"G6CR+F4X, Koratagere, Karnataka 572129, India",,,,,,,,"G6CR+F4X, Koratagere, Karnataka 572129, India",13.5212375,77.2403594
123,Tumkuru,Tumakuru,"84Q7+M4X, taluk walfare office, Tumakuru, Karnataka 572101, India",,,,,,,,"84Q7+M4X, taluk walfare office, Tumakuru, Karnataka 572101, India",13.3392411,77.1128708
124,Tumkuru,Gubbi,"8W7R+Q6G, MG Rd, Gubbi, Karnataka 572216, India",,,,,,,,"8W7R+Q6G, MG Rd, Gubbi, Karnataka 572216, India",13.3155515,76.9402992
125,Tumkuru,Tiptur,"4, National Highway 206, Vidya Nagar, Tiptur, Karnataka 572202, India",,,,,,,,"4, National Highway 206, Vidya Nagar, Tiptur, Karnataka 572202, India",13.262551,76.4543107
126,Tumkuru,Kunigal,"22FC+555, Kunigal, Karnataka 572130, India",,,,,,,,"22FC+555, Kunigal, Karnataka 572130, India",13.0228875,77.0204844
127,Kolar,Srinivaspur,"Mini Vidhana Soudha, Kolar Road Near, SH 99, Srinivaspur, Karnataka 563135, India",,,,,,,,"Mini Vidhana Soudha, Kolar Road Near, SH 99, Srinivaspur, Karnataka 563135, India",13.140435,78.1369344
128,Kolar,Malur,"SH 17
Maruthi Extension
Malur, Karnataka 563130
India",,,,,,,,"SH 17
 Maruthi Extension
 Malur, Karnataka 563130
 India",13.0029884,77.9381636
129,Kolar,Bangarpet,"Vivekanand Nagar Bangarapet, Karnataka 563114 India",,,,,,,,"Vivekanand Nagar Bangarapet, Karnataka 563114 India",12.9925024,78.178531
130,Kolar,K.G.F,"X74F+4F3, Swarna Nagar, Rcky, Kolar Gold Fields, Karnataka 563122, India",,,,,,,,"X74F+4F3, Swarna Nagar, Rcky, Kolar Gold Fields, Karnataka 563122, India",12.9932,78.24647
131,Bengaluru ,Bengaluru(North),"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",,,,,,,,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",13.0063519,77.5496052
132,Bengaluru ,Bengaluru-South,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",,,,,,,,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",12.8996676,77.4826837
133,Bengaluru ,Bengaluru-East,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",,,,,,,,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",13.0650021,77.7384604
134,Bengaluru ,Yelahanka,"3HXV+35F, NES Office Rd, Suggappa Layout, East Colony, Yelahanka New Town, Bengaluru, Karnataka 560064, India",,,,,,,,"3HXV+35F, NES Office Rd, Suggappa Layout, East Colony, Yelahanka New Town, Bengaluru, Karnataka 560064, India",13.0991351,77.5931299
135,Bengaluru ,Nelamangala,"39XR+CM9, Jayanagara,  nelamangala, Indiranagara, Karnataka 562123, India",,,,,,,,"39XR+CM9, Jayanagara, nelamangala, Indiranagara, Karnataka 562123, India",13.0985375,77.3917344
136,Bengaluru ,Basavanagudi,"Krishna Rajendra Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004",,,,,,,,"Krishna Rajendra Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004",12.9458548,77.573783
137,Bengaluru ,Banaswadi,"216, 2nd H Main Rd, East of NGEF Layout, Bennigana Halli, Bengaluru, Karnataka 560043",,,,,,,,"216, 2nd H Main Rd, East of NGEF Layout, Bennigana Halli, Bengaluru, Karnataka 560043",13.0034988,77.6623593
138,Bengaluru ,whitefield,"88, Borewell Rd, Palm Meadows, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",,,,,,,,"88, Borewell Rd, Palm Meadows, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560066",12.9685869,77.7454387
139,Bengaluru ,Devanahalli,"6PV5+C4C, Devanahalli, Karnataka 562110, India",,,,,,,,"6PV5+C4C, Devanahalli, Karnataka 562110, India",13.2435625,77.7077656
140,Bengaluru ,Hoskote,"3QHP+3VX, Kammavari Pete, Hoskote, Karnataka 562129, India",,,,,,,,"3QHP+3VX, Kammavari Pete, Hoskote, Karnataka 562129, India",13.0777375,77.7872344
141,Bengaluru ,Bellandur,"WMHG+X59, Bellandur Main Rd, Bellandur, Bengaluru, Karnataka 560103",,,,,,,,"WMHG+X59, Bellandur Main Rd, Bellandur, Bengaluru, Karnataka 560103",12.922934,77.6729171
142,Bengaluru ,Electronic city,"Block 3, Electronics City Phase 1, Electronic City, B-103, 2nd Cross Road, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",,,,,,,,"Block 3, Electronics City Phase 1, Electronic City, B-103, 2nd Cross Road, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",12.8413449,77.6645127
143,Mandya,Krishnarajpet,"MF5P+3V7, Krishnarajpete, Karnataka 571426, India",,,,,,,,"MF5P+3V7, Krishnarajpete, Karnataka 571426, India",12.6576625,76.4871719
144,Mandya,Nagamangala,"RQM5+9MQ, Nagamangala, Karnataka 571432, India",,,,,,,,"RQM5+9MQ, Nagamangala, Karnataka 571432, India",12.8334625,76.7592344
145,Mandya,Srirangapatna,"CMFM+Q84, Srirangapatna, Karnataka 571438, India",,,,,,,,"CMFM+Q84, Srirangapatna, Karnataka 571438, India",12.4243875,76.6833281
146,Mandya,Mandya,"GVFJ+3M5, PES College Campus, Mandya, Karnataka 571401, India",,,,,,,,"GVFJ+3M5, PES College Campus, Mandya, Karnataka 571401, India",12.5226375,76.8817344
147,Mandya,Maddur,"H2MV+R37, Maddur Main Rd, Maddur, Karnataka 571428, India",,,,,,,,"H2MV+R37, Maddur Main Rd, Maddur, Karnataka 571428, India",12.5870409,77.0459448
148,Mandya,Malavalli,"93M5+6P7, Malavalli, Karnataka 571430, India",,,,,,,,"93M5+6P7, Malavalli, Karnataka 571430, India",12.3830375,77.0592969
149,Hassan,Sakleshpur,"Sakleshpur, Hassan, NH-48, Mangalore Bangalore High, Hassan, Hassan, Karnataka 573134, India",,,,,,,,"Sakleshpur, Hassan, NH-48, Mangalore Bangalore High, Hassan, Hassan, Karnataka 573134, India",12.9484703,75.8039795
150,Hassan,Belur,"5VFF+5XH, Belur, Karnataka 573115, India",,,,,,,,"5VFF+5XH, Belur, Karnataka 573115, India",13.1729375,75.8749844
151,Hassan,Hassan,"233X+7WG, BM Rd, Ammeer Mohalla, Hassan, Karnataka 573201, India",,,,,,,,"233X+7WG, BM Rd, Ammeer Mohalla, Hassan, Karnataka 573201, India",13.0011653,76.098101
152,Hassan,Alur,"XXHV+8FF, BM Rd, Alur, Karnataka 573213, India",,,,,,,,"XXHV+8FF, BM Rd, Alur, Karnataka 573213, India",12.9783877,75.9937081
153,Hassan,Arkalgud,"Q384+WGX, Arakalagud, Karnataka 573102, India",,,,,,,,"Q384+WGX, Arakalagud, Karnataka 573102, India",12.7673625,76.0563594
154,Hassan,Holenarasipura,"Hassan, SH-8, Arakalagud Holenarasipura Road, Holenarasipura, Holenarasipur, Karnataka 573211, India",,,,,,,,"Hassan, SH-8, Arakalagud Holenarasipura Road, Holenarasipura, Holenarasipur, Karnataka 573211, India",12.7642235,76.0665955
155,Hassan,Channarayapatna,"W93Q+9G9, Bangalore - Mangalore Hwy, Byrapura, Channarayapattana, Karnataka 573225, India",,,,,,,,"W93Q+9G9, Bangalore - Mangalore Hwy, Byrapura, Channarayapattana, Karnataka 573225, India",12.9034125,76.3888594
156,Dakshina Kannada,Mangaluru,"VR7R+R52, Old Kent Rd, Attavar, Mangaluru, Karnataka 575001, India",,,,,,,,"VR7R+R52, Old Kent Rd, Attavar, Mangaluru, Karnataka 575001, India",12.8645125,74.8403906
157,Dakshina Kannada,Bantwal,"V2JJ+C7C, B.C Road, Bantwal, Karnataka 574219, India",,,,,,,,"V2JJ+C7C, B.C Road, Bantwal, Karnataka 574219, India",12.8810625,75.0306406
158,Dakshina Kannada,Belthangady,"X7QJ+XRX, Taluk Office Rd, Police Quarters, Belthangady, Karnataka 574214, India",,,,,,,,"X7QJ+XRX, Taluk Office Rd, Police Quarters, Belthangady, Karnataka 574214, India",11.04106,76.99806
159,Dakshina Kannada,Puttur,"Q56X+8PP, Court Road, Puttur, Karnataka 574201, India",,,,,,,,"Q56X+8PP, Court Road, Puttur, Karnataka 574201, India",12.7608035,75.201361
160,Dakshina Kannada,Sulya,"H93P+R8J, Kurunjibhag, Sulya, Karnataka 574327, India",,,,,,,,"H93P+R8J, Kurunjibhag, Sulya, Karnataka 574327, India",12.5545875,75.3857656
161,Dakshina Kannada,Mudbidri,"3X8V+FG2, Mudbidri, Karnataka 574227, India",,,,,,,,"3X8V+FG2, Mudbidri, Karnataka 574227, India",13.0661375,74.9937656
162,Dakshina Kannada,Kadaba,"PFW7+522, Kadaba-Subrahmanya Rd, Kadaba, Karnataka 574221, India",,,,,,,,"PFW7+522, Kadaba-Subrahmanya Rd, Kadaba, Karnataka 574221, India",12.7453875,75.4625156
163,Dakshina Kannada,Mulki,"3QMW+QV2, SH 70, Karnad, Mulki, Karnataka 574154, India",,,,,,,,"3QMW+QV2, SH 70, Karnad, Mulki, Karnataka 574154, India",13.0850428,74.7984613
164,Dakshina Kannada,Ullala,"RW23+RR2, Naringana, Natekal, Ullala, Karnataka 574199, India",,,,,,,,"RW23+RR2, Naringana, Natekal, Ullala, Karnataka 574199, India",12.8020125,74.9045156
165,Kodagu,Madikeri,"Near, Fort Rd, Stuart Hill, Madikeri, Karnataka 571201, India",,,,,,,,"Near, Fort Rd, Stuart Hill, Madikeri, Karnataka 571201, India",12.4201021,75.7395923
166,Kodagu,Somwarpet,"HRWX+RQV, Somwarpet, Karnataka 571236, India",,,,,,,,"HRWX+RQV, Somwarpet, Karnataka 571236, India",12.5971125,75.8494219
167,Kodagu,Virajpet,"5RX2+33F, Court Rd, Virajpet, Karnataka 571218, India",,,,,,,,"5RX2+33F, Court Rd, Virajpet, Karnataka 571218, India",12.29975,75.75521
168,Mysuru,Hunsur,"877Q+8F9, Mysore - Madikeri Rd, Hunsur, Karnataka 571105, India",,,,,,,,"877Q+8F9, Mysore - Madikeri Rd, Hunsur, Karnataka 571105, India",12.3432626,76.5786303
169,Mysuru,Krishnarajanagara,"C9VJ+XR5, Mysore Rd, Krishnarajanagara, Karnataka 571602, India",,,,,,,,"C9VJ+XR5, Mysore Rd, Krishnarajanagara, Karnataka 571602, India",12.4461729,76.3835901
170,Mysuru,Mysuru,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",,,,,,,,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",12.3126375,76.6625156
171,Mysuru,Nanjangud,"4MJG+8CX, Chamalapura, Karnataka 571302, India",,,,,,,,"4MJG+8CX, Chamalapura, Karnataka 571302, India",12.1308625,76.6761094
172,Mysuru,T.Narasipura,"6W53+F5J, Byrapura,, SH84, Tirumakudalu Narasipura, Karnataka 571124, India",,,,,,,,"6W53+F5J, Byrapura,, SH84, Tirumakudalu Narasipura, Karnataka 571124, India",12.2137925,76.9012133
173,Mysuru,Saragur,"295R+X54, Sargur, Karnataka 571121, India",,,,,,,,"295R+X54, Sargur, Karnataka 571121, India",12.0098875,76.3904531
174,Chamarajanagara,Gundlupete,"Chamarajanagar, NH-212, Kozhikode Kerala Highway, Gundlupete, Gundlupete, Karnataka 571111, India",,,,,,,,"Chamarajanagar, NH-212, Kozhikode Kerala Highway, Gundlupete, Gundlupete, Karnataka 571111, India",11.7443029,76.4746926
175,Chamarajanagara,Chamarajanagara,"WXH2+JVW, Chamarajanagara-BR Hills Rd, Bhagirath Nagar, Chamarajnagar, Karnataka 571313, India",,,,,,,,"WXH2+JVW, Chamarajanagara-BR Hills Rd, Bhagirath Nagar, Chamarajnagar, Karnataka 571313, India",11.9291125,76.9522031
176,Chamarajanagara,Yelandur,"322H+VWC, NH948, Yelandur, Karnataka 571441, India",,,,,,,,"322H+VWC, NH948, Yelandur, Karnataka 571441, India",12.0515026,77.0306331
177,Chamarajanagara,Kollegala,"5436+792, Belakavadi - Kollegala Rd, Kollegal, Karnataka 571440, India",,,,,,,,"5436+792, Belakavadi - Kollegala Rd, Kollegal, Karnataka 571440, India",12.1576092,77.1112627
178,Chikkaballapura,Gauribidanur,"834/779, SH 9, Gauribidanur, Karnataka 561208, India",,,,,,,,"834/779, SH 9, Gauribidanur, Karnataka 561208, India",13.6098526,77.5174569
179,Chikkaballapura,Chikkballapur,"CPPH+HR4, NH234, Chikkaballapur, Karnataka 562101, India",,,,,,,,"CPPH+HR4, NH234, Chikkaballapur, Karnataka 562101, India",13.54245,77.54125
180,Chikkaballapura,Gudibanda,"MPC4+CJJ, Gudibanda, Karnataka 561209, India",,,,,,,,"MPC4+CJJ, Gudibanda, Karnataka 561209, India",13.6710875,77.7065156
181,Chikkaballapura,Bagepalli,"QQMR+9V6, Bagepalli, Karnataka 561207, India",,,,,,,,"QQMR+9V6, Bagepalli, Karnataka 561207, India",13.7834125,77.7921406
182,Ramanagara,Magadi,"X63F+PJR, Magadi Rural, Karnataka 562120, India",,,,,,,,"X63F+PJR, Magadi Rural, Karnataka 562120, India",12.9543625,77.2240156
183,Ramanagara,Ramanagar,"P79G+CCC, Ijoor, Ramanagara, Karnataka 562159, India",,,,,,,,"P79G+CCC, Ijoor, Ramanagara, Karnataka 562159, India",12.7185625,77.2760156
184,Ramanagara,Channapatna,"M624+HMR, SH17, Channapatna, Karnataka 562160, India",,,,,,,,"M624+HMR, SH17, Channapatna, Karnataka 562160, India",12.6535518,77.2007842
185,Ramanagara,Kanakpura,"GCWF+V73, Kanakapura, Karnataka 562117, India",,,,,,,,"GCWF+V73, Kanakapura, Karnataka 562117, India",12.5471375,77.4231719
186,Ramanagara,Harohalli,"MFH9+723, Taluk, Harohalli, Karnataka 562112, India",,,,,,,,"MFH9+723, Taluk, Harohalli, Karnataka 562112, India",12.69241,77.59126
187,Yadgir,Yadgir,"Q42P+HFQ, Yadgir-Bidar Rd, Yadgiri, Karnataka 585201, India",,,,,,,,"Q42P+HFQ, Yadgir-Bidar Rd, Yadgiri, Karnataka 585201, India",16.7630078,77.1329199
188,Yadgir,Shahapur,"PR3R+JF6, Jevargi - Chamarajanagar Rd, Shahapur, Karnataka 585223, India",,,,,,,,"PR3R+JF6, Jevargi - Chamarajanagar Rd, Shahapur, Karnataka 585223, India",16.6897399,76.8474401
189,Yadgir,Shorapur,"GPCX+JCV, Shorapur, Karnataka 585220, India",,,,,,,,"GPCX+JCV, Shorapur, Karnataka 585220, India",16.5216125,76.7485469
190,Vijayanagara,Hosapete,"79GP+3XF, College Rd, Hosapete, Karnataka 583201, India",,,,,,,,"79GP+3XF, College Rd, Hosapete, Karnataka 583201, India",15.2755125,76.3871771
191,Vijayanagara,Kudligi,"Bommaghatta Rd Kudligi, Karnataka 583135
India",,,,,,,,"Bommaghatta Rd Kudligi, Karnataka 583135
 India",14.9035673,76.3921847
192,Vijayanagara,Harapanahalli,"QXVR+54F, Harapanahalli, Karnataka 583131, India",,,,,,,,"QXVR+54F, Harapanahalli, Karnataka 583131, India",14.7929375,75.9902969
193,Vijayanagara,Hadagali,"2W9X+4HW, Huvina Hadagali, Karnataka 583219, India",,,,,,,,"2W9X+4HW, Huvina Hadagali, Karnataka 583219, India",15.0178625,75.9489531
